,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 6]","[0, 3, 7]","[0, 4, 8]"
Op. 1,3.521012493915301,14.44101898426091,6.182054194385851,5.743955865649846,6.230731786467629,1.3791984423170534,1.1033587538536427,8.518578614311211,11.098490994645465,10.319649521337011,7.382768132403051,2.9693331169884796,5.581697225377251,2.044458867434691,4.867759208177835,0.8275190653902321,0.8437449294174915,4.705500567905241,2.2391692357618043
Op. 10 i,0.0,10.0,0.0,5.0,0.0,0.0,5.0,25.0,10.0,15.0,10.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0
Op. 10 ii,0.0,3.6363636363636362,3.6363636363636362,0.0,1.8181818181818181,0.0,0.0,10.909090909090908,14.545454545454545,20.0,10.909090909090908,10.909090909090908,1.8181818181818181,3.6363636363636362,3.6363636363636362,0.0,5.454545454545454,7.2727272727272725,1.8181818181818181
Op. 10 iii,74.27184466019418,16.990291262135923,0.48543689320388345,0.9708737864077669,0.48543689320388345,0.0,0.0,0.9708737864077669,0.0,2.4271844660194173,0.9708737864077669,0.9708737864077669,0.0,0.48543689320388345,0.48543689320388345,0.48543689320388345,0.0,0.0,0.0
Op. 10 iv,55.00000000000001,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Op. 10 v,13.20754716981132,16.9811320754717,13.20754716981132,0.0,3.7735849056603774,1.8867924528301887,0.0,7.547169811320755,9.433962264150944,7.547169811320755,5.660377358490567,9.433962264150944,0.0,5.660377358490567,3.7735849056603774,0.0,0.0,1.8867924528301887,0.0
Op. 11 i,0.0,0.0,0.0,0.0,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,12.5,20.833333333333336,12.5,12.5,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666
Op. 11 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,27.27272727272727,9.090909090909092,27.27272727272727,0.0,9.090909090909092,0.0,18.181818181818183,0.0,0.0,0.0,0.0
Op. 11 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 12 i,0.0,0.0,8.75,6.25,8.75,1.25,3.75,3.75,12.5,5.0,8.75,6.25,2.5,6.25,13.750000000000002,3.75,2.5,2.5,3.75
Op. 12 ii,0.0,5.597014925373134,1.8656716417910446,1.1194029850746268,0.7462686567164178,0.3731343283582089,0.7462686567164178,15.671641791044777,11.940298507462686,13.432835820895523,8.208955223880597,16.044776119402986,2.6119402985074625,3.3582089552238807,6.7164179104477615,1.1194029850746268,4.850746268656716,4.477611940298507,1.1194029850746268
Op. 12 iii,0.0,4.787234042553192,0.5319148936170213,0.0,1.0638297872340425,0.0,0.5319148936170213,11.170212765957446,11.702127659574469,14.361702127659576,14.361702127659576,12.23404255319149,3.1914893617021276,4.25531914893617,8.51063829787234,2.127659574468085,4.25531914893617,6.382978723404255,0.5319148936170213
Op. 12 iv,0.0,3.7383177570093453,0.0,0.0,0.9345794392523363,0.9345794392523363,1.8691588785046727,15.887850467289718,11.214953271028037,17.75700934579439,11.214953271028037,15.887850467289718,2.803738317757009,2.803738317757009,6.5420560747663545,0.0,2.803738317757009,3.7383177570093453,1.8691588785046727
Op. 13 i,2.5974025974025974,13.96103896103896,4.545454545454546,2.5974025974025974,1.2987012987012987,0.0,0.0,11.688311688311687,8.441558441558442,12.987012987012985,12.012987012987013,14.285714285714285,2.5974025974025974,2.5974025974025974,4.870129870129871,0.3246753246753247,1.6233766233766231,2.272727272727273,1.2987012987012987
Op. 13 ii,0.0,11.320754716981133,0.0,4.716981132075472,1.8867924528301887,1.8867924528301887,0.9433962264150944,13.20754716981132,17.92452830188679,13.20754716981132,5.660377358490567,9.433962264150944,1.8867924528301887,3.7735849056603774,8.49056603773585,1.8867924528301887,2.8301886792452833,0.0,0.9433962264150944
Op. 13 iii,7.936507936507936,24.761904761904763,0.0,4.444444444444445,3.492063492063492,2.2222222222222223,0.9523809523809524,13.333333333333334,7.936507936507936,9.206349206349207,7.936507936507936,10.793650793650794,1.5873015873015872,1.5873015873015872,2.5396825396825395,0.31746031746031744,0.0,0.31746031746031744,0.6349206349206349
Op. 13 iv,0.0,7.480314960629922,0.7874015748031495,2.3622047244094486,1.968503937007874,0.7874015748031495,1.574803149606299,9.84251968503937,15.748031496062993,19.68503937007874,8.267716535433072,10.236220472440944,3.543307086614173,4.330708661417323,5.511811023622047,1.574803149606299,1.968503937007874,3.937007874015748,0.39370078740157477
Op. 14 i,0.6211180124223602,7.763975155279502,1.5527950310559007,0.3105590062111801,1.2422360248447204,2.1739130434782608,0.6211180124223602,9.937888198757763,13.354037267080745,18.633540372670808,13.664596273291925,16.459627329192546,1.2422360248447204,2.7950310559006213,3.7267080745341614,0.3105590062111801,2.7950310559006213,2.484472049689441,0.3105590062111801
Op. 14 ii,5.378973105134474,12.224938875305623,1.7114914425427872,1.9559902200488997,3.1784841075794623,2.444987775061125,0.4889975550122249,8.557457212713937,7.823960880195599,18.337408312958438,14.425427872860636,11.98044009779951,0.9779951100244498,0.9779951100244498,1.9559902200488997,0.7334963325183375,2.444987775061125,3.1784841075794623,1.2224938875305624
Op. 14 iii,5.109489051094891,9.124087591240876,1.824817518248175,0.7299270072992701,1.824817518248175,2.18978102189781,0.7299270072992701,13.138686131386862,7.664233576642336,18.248175182481752,13.86861313868613,13.86861313868613,1.094890510948905,1.824817518248175,2.18978102189781,1.094890510948905,2.5547445255474455,2.18978102189781,0.7299270072992701
Op. 14 iv,0.0,9.591836734693878,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.40816326530612246,0.20408163265306123,28.775510204081634,10.204081632653061,14.897959183673471,8.979591836734693,14.081632653061224,1.4285714285714286,1.6326530612244898,3.2653061224489797,0.6122448979591837,1.2244897959183674,2.0408163265306123,0.20408163265306123
Op. 14 v,2.4154589371980677,7.729468599033816,0.966183574879227,1.932367149758454,2.4154589371980677,1.932367149758454,0.0,14.009661835748794,7.729468599033816,19.806763285024154,14.009661835748794,12.077294685990339,1.4492753623188406,3.3816425120772946,3.864734299516908,0.4830917874396135,3.3816425120772946,0.4830917874396135,1.932367149758454
Op. 14 vi,3.375527426160337,13.080168776371309,0.42194092827004215,1.6877637130801686,1.6877637130801686,1.6877637130801686,1.6877637130801686,15.611814345991561,9.282700421940929,19.831223628691983,12.236286919831224,10.970464135021098,0.42194092827004215,0.42194092827004215,2.109704641350211,1.6877637130801686,0.0,2.9535864978902953,0.8438818565400843
Op. 15 i,12.0,14.461538461538462,5.230769230769231,2.769230769230769,4.3076923076923075,1.8461538461538463,1.5384615384615385,11.692307692307692,7.076923076923077,13.538461538461538,8.0,6.769230769230769,0.9230769230769231,0.9230769230769231,4.3076923076923075,0.3076923076923077,1.2307692307692308,2.1538461538461537,0.9230769230769231
Op. 15 ii,0.0,6.302521008403361,0.42016806722689076,1.680672268907563,0.42016806722689076,0.42016806722689076,0.8403361344537815,15.126050420168067,13.445378151260504,25.210084033613445,12.184873949579831,13.445378151260504,0.8403361344537815,1.2605042016806722,2.100840336134454,0.42016806722689076,1.680672268907563,2.941176470588235,1.2605042016806722
Op. 15 iii,4.232804232804233,7.936507936507936,1.5873015873015872,5.291005291005291,0.5291005291005291,0.5291005291005291,0.5291005291005291,12.16931216931217,12.16931216931217,20.634920634920633,8.994708994708994,11.11111111111111,1.0582010582010581,2.6455026455026456,5.82010582010582,1.5873015873015872,1.5873015873015872,1.0582010582010581,0.5291005291005291
Op. 15 iv,0.0,0.8,0.8,1.6,1.6,0.0,0.0,12.0,15.2,23.200000000000003,15.2,12.8,1.6,5.6000000000000005,1.6,0.8,4.8,1.6,0.8
Op. 15 v,5.063291139240507,9.70464135021097,2.9535864978902953,1.2658227848101267,2.9535864978902953,0.42194092827004215,0.42194092827004215,14.345991561181433,10.970464135021098,13.502109704641349,5.063291139240507,10.548523206751055,5.063291139240507,3.375527426160337,8.438818565400844,2.9535864978902953,1.6877637130801686,0.8438818565400843,0.42194092827004215
Op. 16 i,0.0,8.75912408759124,0.0,0.0,0.0,0.0,0.0,12.408759124087592,12.408759124087592,26.277372262773724,17.51824817518248,10.948905109489052,2.18978102189781,2.18978102189781,3.64963503649635,0.0,0.0,0.0,3.64963503649635
Op. 16 ii,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,11.904761904761903,14.285714285714285,28.57142857142857,21.428571428571427,2.380952380952381,2.380952380952381,4.761904761904762,4.761904761904762,0.0,2.380952380952381,4.761904761904762,0.0
Op. 16 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.161616161616163,13.131313131313133,25.252525252525253,9.090909090909092,18.181818181818183,0.0,3.0303030303030303,3.0303030303030303,0.0,9.090909090909092,3.0303030303030303,0.0
Op. 16 iv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.987012987012985,18.181818181818183,29.87012987012987,12.987012987012985,12.987012987012985,2.5974025974025974,5.194805194805195,2.5974025974025974,0.0,0.0,2.5974025974025974,0.0
Op. 16 v,0.0,2.0689655172413794,0.0,0.0,0.0,2.0689655172413794,0.0,18.620689655172416,18.620689655172416,15.862068965517242,9.655172413793103,24.137931034482758,0.6896551724137931,0.0,2.0689655172413794,0.0,4.137931034482759,2.0689655172413794,0.0
Op. 17 i,10.882352941176471,30.0,2.0588235294117645,2.6470588235294117,6.470588235294119,7.0588235294117645,4.117647058823529,7.647058823529412,5.0,10.588235294117647,6.176470588235294,4.705882352941177,0.0,0.0,0.5882352941176471,0.29411764705882354,0.29411764705882354,0.8823529411764706,0.5882352941176471
Op. 17 ii,13.445378151260504,5.46218487394958,0.0,4.201680672268908,0.42016806722689076,0.42016806722689076,0.0,8.403361344537815,12.605042016806722,13.865546218487395,9.663865546218489,18.907563025210084,0.42016806722689076,3.7815126050420167,1.2605042016806722,0.42016806722689076,4.621848739495799,1.680672268907563,0.42016806722689076
Op. 17 iii,15.833333333333332,17.916666666666668,1.25,5.833333333333333,6.25,2.083333333333333,1.6666666666666667,12.083333333333334,3.3333333333333335,17.5,5.416666666666667,8.75,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.4166666666666667,0.0
Op. 18 i,1.6286644951140066,5.211726384364821,3.257328990228013,1.6286644951140066,3.257328990228013,2.2801302931596092,0.32573289902280134,5.537459283387622,12.052117263843648,16.938110749185668,9.77198697068404,8.143322475570033,5.211726384364821,5.537459283387622,5.211726384364821,2.2801302931596092,2.6058631921824107,7.491856677524431,1.6286644951140066
Op. 18 ii,0.45558086560364464,4.100227790432802,2.050113895216401,1.8223234624145785,1.5945330296127564,3.8724373576309796,0.683371298405467,7.744874715261959,9.567198177676538,13.66742596810934,11.617312072892938,13.439635535307518,3.644646924829157,7.744874715261959,6.150341685649203,3.644646924829157,2.733485193621868,4.783599088838269,0.683371298405467
Op. 18 iii,3.1578947368421053,10.73684210526316,1.6842105263157894,3.7894736842105265,5.473684210526316,0.631578947368421,0.631578947368421,8.631578947368421,5.894736842105263,26.31578947368421,6.315789473684211,7.368421052631578,3.3684210526315788,3.578947368421052,2.736842105263158,0.21052631578947367,0.631578947368421,5.473684210526316,3.3684210526315788
Op. 19 i,10.304449648711945,12.295081967213115,5.269320843091335,9.367681498829041,9.484777517564403,6.0889929742388755,3.51288056206089,2.810304449648712,6.674473067915692,6.557377049180328,5.620608899297424,4.215456674473068,1.756440281030445,3.629976580796253,3.395784543325527,1.639344262295082,3.0444964871194378,3.395784543325527,0.936768149882904
Op. 19 ii,15.35982814178303,13.64124597207304,6.7669172932330826,8.700322234156822,10.204081632653061,5.155746509129968,4.081632653061225,2.685284640171858,4.618689581095596,5.800214822771213,4.726100966702471,3.7593984962406015,1.8259935553168638,3.6519871106337276,3.4371643394199785,1.1815252416756177,1.8259935553168638,1.933404940923738,0.644468313641246
Op. 2,2.5878003696857674,11.275415896487985,8.133086876155268,4.251386321626617,1.8484288354898337,1.1090573012939002,1.1090573012939002,13.123844731977819,18.853974121996302,8.502772643253234,10.536044362292053,2.4029574861367835,4.805914972273567,4.621072088724584,1.8484288354898337,3.1423290203327174,0.7393715341959335,0.9242144177449169,0.18484288354898337
Op. 20 i,0.5859375,22.4609375,1.5625,2.9296875,6.25,5.078125,1.3671875,12.6953125,6.8359375,13.0859375,13.0859375,8.203125,0.1953125,1.3671875,1.5625,0.0,0.1953125,1.953125,0.5859375
Op. 20 ii,2.768903088391906,10.86261980830671,1.5974440894568689,0.42598509052183176,1.0649627263045793,1.2779552715654952,1.0649627263045793,11.821086261980831,7.0287539936102235,19.275825346112885,15.654952076677317,17.99787007454739,0.5324813631522897,2.023429179978701,2.768903088391906,0.5324813631522897,1.1714589989350372,2.1299254526091587,0.0
Op. 21 i,0.0,8.75,0.0,5.0,0.0,0.0,0.0,20.0,21.25,27.500000000000004,1.25,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 21 ii,62.34234234234234,8.468468468468467,0.36036036036036034,3.2432432432432434,1.6216216216216217,0.9009009009009009,0.36036036036036034,2.8828828828828827,3.063063063063063,8.108108108108109,1.6216216216216217,5.225225225225225,0.18018018018018017,0.7207207207207207,0.36036036036036034,0.0,0.18018018018018017,0.36036036036036034,0.0
Op. 22 i,0.0,4.968944099378882,0.0,0.0,0.0,0.0,2.484472049689441,22.36024844720497,4.968944099378882,31.67701863354037,4.968944099378882,24.84472049689441,0.0,0.0,2.484472049689441,0.0,0.0,0.6211180124223602,0.6211180124223602
Op. 22 ii,0.36363636363636365,4.363636363636364,0.0,1.8181818181818181,1.4545454545454546,1.8181818181818181,0.36363636363636365,14.181818181818182,23.636363636363637,18.545454545454547,8.363636363636363,13.090909090909092,1.090909090909091,0.7272727272727273,6.181818181818182,1.4545454545454546,1.4545454545454546,1.090909090909091,0.0
Op. 23 i,0.4434589800443459,1.5521064301552108,1.1086474501108647,2.882483370288248,3.1042128603104215,1.3303769401330376,0.4434589800443459,4.878048780487805,11.086474501108649,21.286031042128602,13.52549889135255,5.764966740576496,3.1042128603104215,5.543237250554324,7.760532150776053,0.8869179600886918,5.321507760532151,5.543237250554324,4.434589800443459
Op. 23 ii,0.0,0.966183574879227,0.966183574879227,2.898550724637681,2.4154589371980677,2.4154589371980677,0.4830917874396135,4.3478260869565215,13.043478260869565,24.154589371980677,10.628019323671497,2.898550724637681,3.3816425120772946,8.212560386473431,4.830917874396135,2.4154589371980677,4.830917874396135,6.763285024154589,4.3478260869565215
